id,FalseSent,trueSent
3507,He took  a vacation in Brad Pitt,He took a vacation in France
3508,The bear ran up the tree to hide from the raccoon,The raccoon ran up the tree to hide from the bear
3509,She wore the stud earring around her wrist.,She wore the bracelet around her wrist.
3510,She read a mattress tag to study for the upcoming quiz,She read her textbook to study for the upcoming quiz
3511,She stubbed her toe and it was euphoric,She stubbed her toe and it was not pleasant
3512,People wear gloves on their feet to keep them warm.,People wear gloves on their hands to keep them warm.
3513,A doctor uses a muffin to listen to a patient's heart.,A doctor uses a stethoscope to listen to a patient's heart.
3514,All cars have a combustion engines,All cars have engines
3515,"She turned the volume on the TV up, and it got quieter","She turned the volume on the TV up, and it got louder"
3516,The napkin put the food on the dinner plates.,The mother put the food on the dinner plates.
3517,Most cats require assembly.,Most furniture requires assembly.
3518,He drove a frog to work.,He drove his car to work.
3519,Iron Bars are flimsy and light,Iron bars are sturdy and heavy
3520,The old lady watched her favorite show on a phone book.,The old lady watched her favorite show on the television.
3521,She takes her car for a walk.,She takes her dog for a walk.
3522,The artist used bread to color in the picture.,The artist used oil pastels to color in the picture.
3523,Dogs lit his cigarette,Jimmy lit his cigarette.
3524,He was addicted to shower curtains and had to attend rehab,He was addicted to alcohol and had to attend rehab
3525,People usually wear chairs.,People usually wear trousers.
3526,The tree climbed on the cat.,The cat climbed the tree.
3527,Her grandfather is her grandson,Her grandfather is her mother's father
3528,He stored his dog in the drawer,He stored a sock in the drawer
3529,He built his house out of jelly,He built his house out of bricks
3530,He deposited drugs into the bank.,He deposited cash into the bank.
3531,My brother drove to work in his bed.,My brother drove to work in his car.
3532,I want to learn how to play a dog,I want to learn how to play a guitar
3533,I call my friends with an X-ray,I use my phone to call my friends.
3534,He wore a onesie to the wedding,He wore a suit to the wedding
3535,He used a matchstick for writing,He used a pen for writing
3536,Soda is served hot,Coffee is served hot
3537,I swam around in the park today.,I walked around in the park today.
3538,The feather made the floor shake when dropping it.,The toolbox made the floor shake when dropping it.
3539,He wore the headphones over his hands to listen to the music.,He wore the headphones over his ears to listen to the music.
3540,The cow went into the dog house.,The dog went into the dog house.
3541,The man cooked a blender.,The man cooked a burger.
3542,A teacher was taught by a student,A student was taught by a teacher
3543,He walked on the lake.,He walked on the road.
3544,I always have beer for breakfast.,I always eat french fries for breakfast.
3545,He petted a fridge.,He petted a cat.
3546,He carried his books with him in his coffee mug,He carried his books with him in his backpack
3547,Since he was diabetic he ate more milkshakes.,Since he was diabetic he had to take insulin shots regularly.
3548,It is better to bring up sensitive subjects when angry.,It is better to bring up sensitive subjects when calm.
3549,The cup is in the table,The cup sits on top of the table
3550,She looked as white as a bar of gold,She looked as white as a ghost
3551,My vanilla smells like shampoo,My shampoo smells like vanilla
3552,Her Dog is driving to the vet.,She is driving her dog to the vet.
3553,Laundry is human flesh,Laundry is clothing
3554,Submarines fly in the sky.,Submarines submerge under the water.
3555,She put a bowling ball in his butt.,She put a finger in his butt.
3556,The teacher used a brick to clean the spill.,The teacher used a mop to clean the spill.
3557,I'm eating the soap,I'm eating an apple
3558,I put a brick on my toast.,I put butter on my toast.
3559,She parked her car on the airport runway every day.,She parked her car in her garage.
3560,A play uses hired car dealers to perform,A play uses hired actors to perform
3561,The school curriculum took my lunch money,The school bully took my lunch money
3562,My father and I were throwing an anvil to each other while playing catch.,My father and I were throwing a baseball to each other while playing catch.
3563,My dog enjoys walking my mother on a dog leash.,My mother enjoys walking our dog on a dog leash.
3564,A handbag is a flexible bag that can be inflated with a gas,A balloon is a flexible bag that can be inflated with a gas
3565,My toaster ate some chicken scraps.,My dog ate some chicken scraps.
3566,The house is made of pine-cones.,The house is made of wood.
3567,Animals cook their own food through photosynthesis.,Plants cook their own food through photosynthesis.
3568,He put on sneakers to go for a swim.,He put on sneakers to go for a run.
3569,She put her dog,She put on her jacket.
3570,Phone stores can be found inside salesmen.,Salesmen can be found inside a store.
3571,Weeds grow in a sink,Weeds grow in a garden
3572,Books are for riding,Books are for reading
3573,The doctor sleeps at the circus tent,The doctor sleeps at the hospital
3574,You are likely to find an anemone on a street corner.,You are likely to find an anemone in the ocean shallows.
3575,She wore a woolly hat on a hot day,She wore shorts on a hot day
3576,A sponge is a kind of weapon.,A gun is a kind of weapon.
3577,I saw bears in the ocean.,I saw sharks in the ocean.
3578,The rock cried when she lost the race,The child cried when she lost the race.
3579,Roses are pretty chickens,Roses are pretty flowers
3580,River is flowing still while there is no water.,River is flowing down the narrow path.
3581,Google is a pornographic website that has been around since the mid to late 90's,Google is a search engine that has been around since the mid to late 90's
3582,A boat floats on air.,A boat floats on water.
3583,"The tea was too astringent, and needed to cool down","The tea was too hot, and needed to cool down"
3584,The man had a fast turtle.,The man had a fast car.
3585,she took a lion in the tub,She took a bath in the tub
3586,I went to the art museum to by lemons,I went to the grocery store to buy lemons
3587,Thunder happens with lightning always in the nights.,Thunder comes after lightning always in the nights.
3588,A monkey is a fruit,A banana is a fruit
3589,The boy dipped his cookie in paint thinner.,The boy dipped his cookie in milk.
3590,"If a person stopped blinking, they would eventually die","If a person stopped breathing, they would eventually die"
3591,A camera is for taking pictures of dolphins,A camera is for taking pictures
3592,Sometimes you can find cheese in a newspaper.,Sometimes you can find a comic strip in a newspaper.
3593,A vulture was flying without wings,A vulture was flying low
3594,I wipe my ass with sand paper.,I wipe my ass with toilet paper.
3595,He went to the hospital to buy groceries.,He went to the supermarket to buy groceries.
3596,He rode a cat.,He rode a horse.
3597,The man put a block in the microwave.,The man put a sandwich in the microwave.
3598,The library was filled with dead pets.,The library was filled with great books.
3599,"If you take a shower at the circus, the clowns might attack you.",You can go to the circus if you want to see clowns.
3600,The plumber came out this morning to fix the gravy pipes.,The plumber came out this morning to fix the water pipes.
3601,I purchased my favorite pants at a greenhouse,I purchased my favorite pants at a thrift store.
